Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2000-01-03,11357.509765625,11522.009765625,11305.6904296875,11501.849609375,169750000
2000-01-04,10997.9296875,11350.0595703125,10986.4501953125,11349.75,178420000
2000-01-05,11122.650390625,11215.099609375,10938.669921875,10989.3701171875,203190000
2000-01-06,11253.259765625,11313.4501953125,11098.4501953125,11113.3701171875,176550000
2000-01-07,11522.5595703125,11528.1396484375,11239.919921875,11247.0595703125,184900000
2000-01-10,11572.2001953125,11638.2802734375,11532.48046875,11532.48046875,168180000
2000-01-11,11511.080078125,11663.099609375,11502.7001953125,11568.4697265625,177300000
2000-01-12,11551.099609375,11612.5302734375,11505.1796875,11506.73046875,194060000
2000-01-13,11582.4296875,11656.580078125,11524.1103515625,11558.240234375,174910000
2000-01-14,11722.98046875,11750.2802734375,11612.5302734375,11619.349609375,266830000
2000-01-18,11560.7197265625,11720.1201171875,11546.4501953125,11719.1904296875,200220000
2000-01-19,11489.3603515625,11574.6796875,11456.009765625,11535.240234375,193090000
2000-01-20,11351.2998046875,11558.7001953125,11274.98046875,11490.2900390625,191230000
2000-01-21,11251.7099609375,11387.599609375,11232.48046875,11356.259765625,205840000
2000-01-24,11008.169921875,11366.5,10917.26953125,11251.9404296875,202740000
2000-01-25,11029.8896484375,11079.51953125,10883.4501953125,11010.9599609375,209230000
2000-01-26,11032.990234375,11131.0302734375,11002.580078125,11025.849609375,188840000
2000-01-27,11028.01953125,11164.1396484375,10915.400390625,11035.5498046875,194280000
2000-01-28,10738.8701171875,11024.919921875,10735.76953125,11024.919921875,183090000
2000-01-31,10940.5302734375,10956.669921875,10701.6396484375,10735.76953125,191880000
2000-02-01,11041.0498046875,11073.3203125,10907.9599609375,10937.740234375,183110000
2000-02-02,11003.2001953125,11118.9296875,10987.0703125,11037.6396484375,164170000
2000-02-03,11013.4404296875,11079.51953125,10842.259765625,11010.48046875,178630000
2000-02-04,10963.7998046875,11089.4501953125,10943.01953125,11014.3701171875,166590000
2000-02-07,10905.7900390625,10970.9404296875,10846.2197265625,10965.9697265625,145660000
2000-02-08,10957.599609375,11023.0595703125,10904.259765625,10904.259765625,168890000
2000-02-09,10699.16015625,10948.8203125,10698.849609375,10948.8203125,168550000
2000-02-10,10643.6298828125,10738.25,10606.400390625,10697.919921875,156390000
2000-02-11,10425.2099609375,10638.6396484375,10356.9599609375,10638.6396484375,193540000
2000-02-14,10519.83984375,10549.0,10430.7998046875,10431.650390625,167240000
2000-02-15,10718.08984375,10763.0703125,10494.48046875,10520.150390625,183320000
2000-02-16,10561.41015625,10741.669921875,10561.41015625,10711.8203125,163280000
2000-02-17,10514.5703125,10671.8603515625,10454.6103515625,10565.759765625,195830000
2000-02-18,10219.51953125,10517.75,10199.98046875,10514.5703125,208930000
2000-02-22,10304.83984375,10336.7900390625,10103.7998046875,10219.830078125,194340000
2000-02-23,10225.73046875,10338.349609375,10164.919921875,10294.8203125,185280000
2000-02-24,10092.6298828125,10248.0595703125,9942.7802734375,10242.48046875,237540000
2000-02-25,9862.1201171875,10132.419921875,9836.0595703125,10090.76953125,195240000
2000-02-28,10038.650390625,10156.5400390625,9842.5703125,9854.66015625,213230000
2000-02-29,10128.3095703125,10204.9404296875,10029.9599609375,10039.580078125,191360000
2000-03-01,10137.9296875,10186.330078125,10084.5595703125,10128.1103515625,216780000
2000-03-02,10164.919921875,10212.3896484375,10103.490234375,10135.4404296875,206510000
2000-03-03,10367.2001953125,10443.51953125,10171.1201171875,10171.1201171875,210460000
2000-03-06,10170.5,10383.9501953125,10121.48046875,10358.9599609375,172590000
2000-03-07,9796.0302734375,10229.1396484375,9752.6796875,10197.6103515625,278180000
2000-03-08,9856.5302734375,9918.8896484375,9731.8095703125,9800.6904296875,223310000
2000-03-09,10010.73046875,10010.73046875,9738.9501953125,9855.2900390625,187360000
2000-03-10,9928.8203125,10091.3896484375,9907.259765625,10008.5498046875,197440000
2000-03-13,9947.1298828125,9998.5498046875,9735.5400390625,9911.2197265625,186210000
2000-03-14,9811.240234375,10043.2998046875,9811.240234375,9957.669921875,186080000
2000-03-15,10131.41015625,10180.2001953125,9776.490234375,9808.150390625,204920000
2000-03-16,10630.599609375,10632.4599609375,10138.33984375,10139.580078125,253790000
2000-03-17,10595.23046875,10763.3798828125,10567.3095703125,10629.98046875,247830000
2000-03-20,10680.240234375,10727.7099609375,10586.990234375,10594.75,177730000
2000-03-21,10907.33984375,10907.33984375,10603.6103515625,10680.240234375,211950000
2000-03-22,10866.7001953125,10917.26953125,10789.1298828125,10916.9599609375,195830000
2000-03-23,11119.8603515625,11136.6103515625,10831.01953125,10884.3798828125,224710000
2000-03-24,11112.7197265625,11234.650390625,11045.08984375,11107.4501953125,217140000
2000-03-27,11025.849609375,11170.8203125,10982.73046875,11093.25,184880000
2000-03-28,10936.1103515625,11094.33984375,10932.7802734375,11023.6796875,177780000
2000-03-29,11018.7197265625,11101.5498046875,10910.75,10939.0498046875,199370000
2000-03-30,10980.25,11144.0595703125,10916.33984375,11008.169921875,214190000
2000-03-31,10921.919921875,11107.759765625,10921.919921875,10993.2802734375,179590000
2000-04-03,11221.9296875,11223.7900390625,10862.9697265625,10863.2802734375,279950000
2000-04-04,11164.83984375,11418.240234375,10717.7802734375,11225.33984375,319280000
2000-04-05,11033.919921875,11218.2099609375,11002.580078125,11163.2900390625,189310000
