Datetime,Open,High,Low,Close,Adj Close,Volume
2023-01-03 09:30:00,10556.4169921875,10611.9658203125,10384.2529296875,10395.6376953125,10395.6376953125,0
2023-01-03 10:30:00,10395.7783203125,10435.8935546875,10360.302734375,10373.123046875,10373.123046875,540578000
2023-01-03 11:30:00,10372.5869140625,10372.5869140625,10317.599609375,10331.28125,10331.28125,468844000
2023-01-03 12:30:00,10331.630859375,10357.3134765625,10309.1611328125,10354.056640625,10354.056640625,380777000
2023-01-03 13:30:00,10354.16015625,10372.837890625,10339.9892578125,10348.087890625,10348.087890625,338735000
2023-01-03 14:30:00,10348.904296875,10407.556640625,10322.8681640625,10383.369140625,10383.369140625,421410000
2023-01-03 15:30:00,10383.828125,10402.380859375,10378.236328125,10386.74609375,10386.74609375,441459000
2023-01-04 09:30:00,10465.951171875,10479.888671875,10337.642578125,10375.3271484375,10375.3271484375,0
2023-01-04 10:30:00,10376.619140625,10453.16796875,10352.6640625,10450.916015625,10450.916015625,614973000
2023-01-04 11:30:00,10457.2099609375,10514.171875,10457.2099609375,10493.4462890625,10493.4462890625,489244000
2023-01-04 12:30:00,10494.107421875,10510.431640625,10446.1923828125,10484.44921875,10484.44921875,400765000
2023-01-04 13:30:00,10485.2939453125,10509.66796875,10383.74609375,10386.2509765625,10386.2509765625,437611000
2023-01-04 14:30:00,10381.8642578125,10475.4765625,10380.2099609375,10428.1552734375,10428.1552734375,451948000
2023-01-04 15:30:00,10424.8798828125,10464.0751953125,10382.623046875,10460.8984375,10460.8984375,456282000
2023-01-05 09:30:00,10387.8994140625,10388.375,10300.0087890625,10355.693359375,10355.693359375,0
2023-01-05 10:30:00,10355.7841796875,10360.4462890625,10316.30078125,10327.8173828125,10327.8173828125,505701000
2023-01-05 11:30:00,10325.6953125,10357.8193359375,10319.62109375,10335.7578125,10335.7578125,410685000
2023-01-05 12:30:00,10335.37890625,10378.685546875,10305.0205078125,10361.2939453125,10361.2939453125,402671000
2023-01-05 13:30:00,10364.19921875,10380.9892578125,10339.673828125,10339.673828125,10339.673828125,426817000
2023-01-05 14:30:00,10339.27734375,10382.1875,10313.2119140625,10319.0712890625,10319.0712890625,538630000
2023-01-05 15:30:00,10319.1513671875,10325.353515625,10295.7587890625,10306.5869140625,10306.5869140625,481456000
2023-01-06 09:30:00,10364.3779296875,10405.486328125,10267.546875,10369.134765625,10369.134765625,0
2023-01-06 10:30:00,10369.521484375,10472.380859375,10366.3017578125,10453.9326171875,10453.9326171875,661914000
2023-01-06 11:30:00,10454.7646484375,10501.505859375,10444.109375,10483.6689453125,10483.6689453125,544431000
2023-01-06 12:30:00,10483.7197265625,10501.7685546875,10463.28515625,10500.53125,10500.53125,384198000
2023-01-06 13:30:00,10500.552734375,10569.8388671875,10500.552734375,10555.9736328125,10555.9736328125,394144000
2023-01-06 14:30:00,10555.8837890625,10603.861328125,10554.8603515625,10578.845703125,10578.845703125,439135000
2023-01-06 15:30:00,10579.05078125,10594.2890625,10559.3447265625,10566.556640625,10566.556640625,487097000
2023-01-09 09:30:00,10661.24609375,10753.1982421875,10645.7255859375,10739.5263671875,10739.5263671875,0
2023-01-09 10:30:00,10739.349609375,10807.2626953125,10739.349609375,10799.7568359375,10799.7568359375,604282000
2023-01-09 11:30:00,10800.904296875,10804.388671875,10780.5263671875,10795.1806640625,10795.1806640625,463828000
2023-01-09 12:30:00,10794.662109375,10797.8369140625,10763.65234375,10787.4228515625,10787.4228515625,380917000
2023-01-09 13:30:00,10787.4189453125,10787.5068359375,10707.296875,10736.13671875,10736.13671875,405705000
2023-01-09 14:30:00,10736.2333984375,10738.384765625,10652.58984375,10661.96875,10661.96875,433560000
2023-01-09 15:30:00,10662.751953125,10665.0439453125,10619.1962890625,10635.8310546875,10635.8310546875,488388000
2023-01-10 09:30:00,10608.365234375,10723.8955078125,10608.365234375,10661.7333984375,10661.7333984375,0
2023-01-10 10:30:00,10661.2265625,10673.57421875,10589.5947265625,10655.4873046875,10655.4873046875,553938000
2023-01-10 11:30:00,10655.60546875,10667.4814453125,10629.2998046875,10656.474609375,10656.474609375,385349000
2023-01-10 12:30:00,10656.357421875,10700.2705078125,10656.357421875,10687.3369140625,10687.3369140625,419830000
2023-01-10 13:30:00,10687.3837890625,10726.4287109375,10683.3740234375,10723.251953125,10723.251953125,406919000
2023-01-10 14:30:00,10723.078125,10728.6123046875,10685.4482421875,10703.3896484375,10703.3896484375,451074000
2023-01-10 15:30:00,10704.04296875,10741.97265625,10702.626953125,10741.919921875,10741.919921875,495784000
2023-01-11 09:30:00,10799.5224609375,10854.296875,10763.232421875,10852.978515625,10852.978515625,0
2023-01-11 10:30:00,10855.1494140625,10855.1494140625,10790.7431640625,10835.8388671875,10835.8388671875,670495000
2023-01-11 11:30:00,10835.51953125,10875.3857421875,10830.5146484375,10869.263671875,10869.263671875,455253000
2023-01-11 12:30:00,10869.84765625,10890.71875,10853.8857421875,10876.95703125,10876.95703125,440455000
2023-01-11 13:30:00,10877.0625,10880.796875,10858.6806640625,10869.58203125,10869.58203125,385402000
2023-01-11 14:30:00,10869.2939453125,10904.4443359375,10866.8330078125,10896.55859375,10896.55859375,458381000
2023-01-11 15:30:00,10896.462890625,10932.3212890625,10884.21875,10929.73828125,10929.73828125,522799000
2023-01-12 09:30:00,10965.5419921875,10969.0908203125,10798.330078125,10936.0224609375,10936.0224609375,0
2023-01-12 10:30:00,10931.923828125,10957.8349609375,10870.2255859375,10916.8466796875,10916.8466796875,569531000
2023-01-12 11:30:00,10916.6064453125,10998.693359375,10893.205078125,10997.3984375,10997.3984375,498071000
2023-01-12 12:30:00,10997.1669921875,11017.642578125,10948.2236328125,10949.41796875,10949.41796875,528667000
2023-01-12 13:30:00,10950.6435546875,11026.794921875,10930.01953125,10997.576171875,10997.576171875,502067000
2023-01-12 14:30:00,10997.55078125,11012.51171875,10969.1884765625,10985.1513671875,10985.1513671875,544041000
2023-01-12 15:30:00,10985.57421875,11005.1396484375,10961.357421875,11002.314453125,11002.314453125,590479000
2023-01-13 09:30:00,10905.166015625,10998.0712890625,10901.8759765625,10997.5810546875,10997.5810546875,0
2023-01-13 10:30:00,10997.7900390625,11012.1728515625,10954.7666015625,10973.787109375,10973.787109375,624895000
2023-01-13 11:30:00,10974.2236328125,11002.4853515625,10948.046875,11000.1015625,11000.1015625,432447000
2023-01-13 12:30:00,11000.3642578125,11011.8740234375,10987.3125,11006.408203125,11006.408203125,405331000
2023-01-13 13:30:00,11006.98828125,11043.5947265625,11005.296875,11041.5693359375,11041.5693359375,425619000
